doi,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Er-CU-45,,Er(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","242 mg, 1.53 mmol",1.53,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,1050,not_reported,not_reported,530,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Ho-CU-45,,Ho(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","242 mg, 1.53 mmol",1.53,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,1080,not_reported,not_reported,520,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Dy-CU-45,,Dy(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","290.4 mg, 1.84 mmol",1.84,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,950,not_reported,not_reported,540,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Tb-CU-45,2347671,Tb(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","290.4 mg, 1.84 mmol",1.84,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,"a=36.300(4) Å, Fd-3m",,920,not_reported,not_reported,550,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Gd-CU-45,,Gd(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","290.4 mg, 1.84 mmol",1.84,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,720,not_reported,not_reported,530,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Eu-CU-45,,Eu(NO3)3,,"110.6 mg, 0.25 mmol",0.25,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","290.4 mg, 1.84 mmol",1.84,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.0 mL,1,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,830,not_reported,not_reported,460,luminescence,10.1002/chem.202402363,ok,
10.1021/cg070144q,no,,,,Cu(NO3)2·3H2O,,"0.122 g, 0.5 mmol",0.5,mmol,,,,,,,,,,,"1,3-benzenedicarboxylate acid",H2bdc,"0.083 g, 0.5 mmol",0.5,mmol,,,,,,,,,,,benzimidazole,,"0.030 g, 0.25 mmol",0.25,mmol,,,,,,dimethylformamide,DMF,"15 mL (from 1:1 DMF/EtOH, total 30 mL)",15,ethanol,EtOH,"15 mL (from 1:1 DMF/EtOH, total 30 mL)",15,25,room temperature,144,several days,,,,,120 °C (393 K) under high vacuum for 12 h,120,12,,59,,,Cu2 paddle-wheel SBU (tetracarboxylate-bridged),"a=28.126(9), b=25.034(5), c=15.343(3), Cmca (orthorhombic)",,374,not_reported,not_reported,,,10.1021/cg070144q,ok,
10.1039/c5ra10799g,no,,,,Nd(NO3)3·6H2O,,"0.0086 g, 0.02 mmol",0.02,mmol,,,,,,,,,,,"2,6-naphthalenedicarboxylic acid",H2ndc,"0.0065 g, 0.03 mmol",0.0300661,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,6 mL,6,,,,,25,room temperature,432,several weeks,,static,,,Activated at 200 °C under vacuum (~10^2 Pa) for ~24 h before gas sorption,200,24,colorless block-shaped crystals,39.22,,,dinuclear [Nd(COO)6] 6-connected octahedral SBU,"a=11.958(1) Å, b=12.222(1) Å, c=13.503(1) Å, α=102.535(2)°, β=98.857(2)°, γ=107.293(2)°, triclinic P-1",,149.62,no,not_reported,495,hydrogen_storage,10.1039/c5ra10799g,ok,
10.1039/c5ra10799g,no,,,,Nd(NO3)3·6H2O,,"0.0086 g, 0.02 mmol",0.02,mmol,,,,,,,,,,,"2,6-naphthalenedicarboxylic acid",H2ndc,"0.0065 g, 0.03 mmol",0.0300661,mmol,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylacetamide",DMAc,6 mL,6,,,,,25,room temperature,2160,several months,test tube,static,,,Activated at 200 °C under vacuum (~10^2 Pa) for ~24 h before gas sorption,200,24,colorless needle-shaped crystals,24,,,rod-shaped Nd–carboxylate SBU,"a=18.858(1) Å, b=21.815(1) Å, c=12.8837(6) Å, α=90°, β=90°, γ=90°, orthorhombic Pnma",,78.12,no,not_reported,490,hydrogen_storage,10.1039/c5ra10799g,ok,
10.1039/c5ra10799g,no,,,,Nd(NO3)3·6H2O,,"0.0086 g, 0.02 mmol",0.02,mmol,,,,,,,,,,,"2,6-naphthalenedicarboxylic acid",H2ndc,"0.0065 g, 0.03 mmol",0.0300661,mmol,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylacetamide",DMAc,6 mL,6,,,,,25,room temperature,2160,several months,test tube,static,,,Activated at 200 °C under vacuum (~10^2 Pa) for ~24 h before gas sorption,200,24,colorless block-shaped crystals,23.7,,,rod-shaped Nd–carboxylate SBU,"a=9.8320(3) Å, b=21.3218(7) Å, c=13.7949(4) Å, α=90°, β=105.602(1)°, γ=90°, monoclinic P2₁/n",,57.91,no,not_reported,444,hydrogen_storage,10.1039/c5ra10799g,ok,
